product_name,category,brand,price,rating,features,description
Galaxy S25 Ultra,smartphone,Samsung,1199.99,4.8,"200MP camera, 12GB RAM, 5000mAh battery, 6.8-inch AMOLED, S-Pen included, Snapdragon 8 Gen 3, 256GB storage, Water resistant IP68, 45W fast charging","Samsung's flagship smartphone featuring a revolutionary 200MP camera system, the fastest Snapdragon processor, and the versatile S-Pen for productivity. Perfect for photography enthusiasts, professionals, and power users who demand the best."
iPhone 16 Pro,smartphone,Apple,1099.99,4.7,"A18 Bionic chip, Dynamic Island, ProMotion 120Hz, 48MP quad camera, 8GB RAM, FaceID, Always-On display, 256GB storage, Titanium frame","Apple's premium smartphone with cutting-edge A18 Bionic chip, exceptional camera performance, and stunning display in a premium titanium design. The iOS ecosystem integration offers seamless connectivity with other Apple devices."
Pixel 10,smartphone,Google,899.99,4.6,"Best computational photography, clean Android, 8GB RAM, 6.3-inch OLED, AI features, Night Sight, 128GB storage, Fast charging","Google's flagship with industry-leading computational photography and a clean Android experience. Features the purest Android experience with priority updates and Google's AI-powered features for smart functionality."
Nothing Phone (3),smartphone,Nothing,699.99,4.3,"Unique glyph interface, 120Hz OLED display, transparent design, 8GB RAM, 256GB storage, 50MP dual camera","Featuring the innovative glyph interface with customizable LED notification lights in a transparent design. The clean, minimal software offers a refreshing alternative to bloated interfaces while maintaining excellent performance."
Motorola Edge 50 Ultra,smartphone,Motorola,799.99,4.5,"Clean Android, 144Hz curved display, 68W TurboPower charging, 12GB RAM, 512GB storage, 50MP main camera","The Motorola Edge 50 Ultra combines a nearly stock Android experience with high-end specs and incredibly fast charging. Its curved display and premium design make it stand out in the competitive flagship market."
Audio-Technica ATH-M40x,headphones,Audio-Technica,99.99,4.7,"Studio quality, balanced sound signature, wired, comfortable padding, foldable design, 90-degree swiveling earcups, detachable cable","Professional studio monitor headphones with exceptionally accurate sound reproduction and comfortable design for long sessions. The balanced tuning makes them perfect for mixing, mastering, and critical listening applications."
Anker Soundcore Q30,headphones,Anker,79.99,4.5,"Active noise cancelling, wireless, 40-hour battery life, app EQ customization, comfortable design, multipoint connection","The best noise cancelling headphones under $100 with customizable EQ and excellent battery life. Three noise cancellation modes allow you to adapt to different environments, while the companion app offers extensive sound customization."
JBL Tune 760NC,headphones,JBL,89.99,4.3,"Punchy bass, wireless, ANC, foldable design, 35-hour battery life, voice assistant support","Comfortable wireless headphones with active noise cancellation and bass-forward sound signature. JBL's signature sound profile delivers enhanced bass response ideal for modern music genres, while maintaining clarity in the mids and highs."
Sony WH-CH720N,headphones,Sony,94.99,4.4,"Lightweight, ANC, 35-hour battery, multipoint connection, app support, quick charging","Lightweight noise cancelling headphones with good sound quality and multi-device connectivity. Sony's DSEE technology upscales compressed digital music files, restoring high-range sound lost in compression for better audio quality."
Philips SHP9500,headphones,Philips,74.99,4.6,"Open-back, audiophile, wired, wide soundstage, detailed highs, comfortable velour pads","Audiophile-grade open-back headphones with natural sound and wide soundstage for critical listening. The breathable ear cup design and low clamp force make them ideal for extended listening sessions without fatigue."
Dell XPS 13,laptop,Dell,1299.99,4.6,"Intel Core Ultra, 13.4-inch OLED, 16GB RAM, 512GB SSD, Windows 11 Pro, Thunderbolt 4, InfinityEdge display","Dell's premium ultraportable with excellent build quality, beautiful OLED display, and strong performance. The nearly borderless InfinityEdge display maximizes screen real estate in a compact form factor, making it ideal for professionals on the go."
MacBook Air M3,laptop,Apple,1199.99,4.8,"Apple M3 chip, 15-inch Liquid Retina display, 16GB RAM, 512GB SSD, macOS, 18-hour battery, fanless design","Apple's thin and light laptop with exceptional battery life and performance in a fanless design. The powerful M3 chip provides remarkable performance and efficiency for productivity tasks, creative work, and everyday computing."
Lenovo ThinkPad X1 Carbon,laptop,Lenovo,1499.99,4.7,"Intel Core i7, 14-inch display, 16GB RAM, 1TB SSD, Windows 11 Pro, legendary keyboard, military-grade durability","Premium business laptop with legendary keyboard, durability, and strong security features. The carbon fiber chassis provides military-grade durability while maintaining a lightweight profile, perfect for business travelers."
